feed_pressure,feed_molarflow,feed_propane,feed_isobutane,feed_n_hexane,feed_isopentane,feed_n_heptane,rebolier_temp,reflux_ratio,top_pressure,top_molar_flow,top_propane,top_isobutane,top_n_hexane,top_isopentane,top_n_heptane,bottom_molar_flow,bottom_propane,bottom_isobutane,bottom_n_hexane,bottom_isopentane,bottom_n_heptane,cduty,rduty,dwsim_time,solved,data_set_number,data_set
186662,1615.6375,0.05,0.1,0.571729,0.188271,0.09,366.48325,2.01708,228699.2,431.561897523385,0.187184877234237,0.374327006675851,0.00328375545576875,0.435201602361432,2.75827271209639e-06,431.561897523385,1.19866593576805e-08,1.56043285431886e-05,0.778911132509565,0.0982718149067523,0.12280143626848,31359.8150276505,-41023.9701275314,0.543990850448608,True,2182,regularSobol_Training_2
198578.0515,2045.9881375,0.05,0.1,0.390972475,0.369027525,0.09,372.36132725,2.61239902,203556.4576,1310.05827709308,0.0780876764482236,0.156175349908095,0.18932002298845,0.576282495414547,0.000134455240685184,1310.05827709308,6.84659852023394e-12,5.33337991598612e-09,0.749942097061228,8.46351026862985e-05,0.24997326249586,131446.265699738,-137425.849827069,0.603336572647095,True,2352,regularSobol_Vald_2
210045.5,1438,0.05,0.1,0.606478,0.153522,0.09,354.874,1.50838,226456,180.520086727332,0.397820188899318,0.579466183251102,7.97988517298543e-05,0.0226337948867088,3.41111415229476e-08,180.520086727332,6.79652987768465e-05,0.0311692568050241,0.693530727210321,0.17231192251824,0.102920128167638,9202.35421660284,-15590.022898663,0.365139722824097,True,1255,regularSobol_Training_0
193631.0665,1798.878375,0.05,0.1,0.3232374754,0.4367625246,0.09,367.25871775,1.84825136,235113.8408,950.354432716096,0.09464249814381,0.189282644899954,0.00182953322853605,0.714242084298477,3.23942922288524e-06,950.354432716096,1.31487783796188e-09,2.63620505024072e-06,0.683217255971247,0.125982926751803,0.190797179757022,67220.6689841251,-74866.4364702807,0.321314096450806,True,1926,Testing
206736.208,1629.5965,0.05,0.1,0.460605517,0.299394483,0.09,374.31721275,1.097434876,197229.3344,1225.27116955835,0.0664994223496241,0.132998842979983,0.401355069819191,0.398171557532366,0.00097510731883587,1225.27116955835,6.73049322786046e-12,5.22353931383117e-09,0.640158612609383,5.95353091790208e-05,0.359781846851168,76989.2818110674,-79494.8910994903,0.657173633575439,True,1519,selectiveSobolSampling_Vald_XX
224269.5,2026.125,0.05,0.1,0.366715,0.393285,0.09,365.32725,1.56066,234177.6,946.47829041082,0.107034939702463,0.214063633975141,0.00312732362714185,0.675769157257738,4.94543751630029e-06,946.47829041082,3.01597553740432e-09,5.48112269344508e-06,0.685456157909675,0.145643693029147,0.168894664922509,60227.3085439664,-67138.9585117028,0.30382776260376,True,317,regularSobol_Training_0
213025.561,1345.59178375,0.05,0.1,0.382044838,0.377955162,0.09,357.78878475,1.31311468,219068.5536,534.652257103117,0.125838020749657,0.251649233377642,0.00386206300836408,0.618645137545073,5.54531926359103e-06,534.652257103117,9.08120358457098e-09,1.76927513128144e-05,0.631380660959389,0.219268312415342,0.149333324792752,30796.407647801,-35118.2131627925,0.286768674850464,True,1673,selectiveSobolSampling_Vald_XX
224776,1967.7375,0.05,0.1,0.5515,0.2085,0.09,366.25075,2.71692,256042.4,447.782873077121,0.219719931698181,0.439286080251273,0.00149742581973901,0.339495189749739,1.37248106787237e-06,447.782873077121,3.46799034377257e-08,4.53743033355759e-05,0.713532292611814,0.169908451682422,0.116513846722524,38686.8161975462,-48896.9635343066,0.362873315811157,True,1405,regularSobol_Training_0
213858.576,1612.4513,0.05,0.1,0.449348896,0.310651104,0.09,367.0469985,2.82042092,221984.0936,665.010233563021,0.121235072772354,0.242467490837154,0.00141757166461038,0.6348783059097,1.55881618087315e-06,665.010233563021,9.91752485569482e-10,1.86532651677183e-06,0.763752530346036,0.0830755693228827,0.153170034012812,63155.52791772,-69679.7214439635,0.318857431411743,True,1081,Testing
198116.72084,2337.955995875,0.05,0.1,0.47774575219,0.28225424781,0.09,352.7251457275,1.303962467,218930.109032,455.411639911349,0.256682343473409,0.507991772991399,0.00113299471261262,0.234191940007963,9.48814615771006e-07,455.411639911349,8.88593265530828e-07,0.00130155402726694,0.593044494978103,0.293881136889511,0.111771925511854,23809.745586614,-33960.3727597231,0.416719913482666,True,400160,selectiveSobolSampling_Vald_XX
222912,1371.4375,0.05,0.1,0.584824,0.175176,0.09,370.88175,2.12444,184908.32,994.652102523503,0.0689405620569255,0.137881123346608,0.551058447511624,0.241528722417143,0.000591144667700359,994.652102523503,2.46059029916595e-12,2.03031850402537e-09,0.67395956098608,1.56161252881816e-05,0.326024820855853,97852.475195747,-98381.6943863125,0.955565929412842,True,173,regularSobol_Training_0
195620,1937.15,0.05,0.1,0.487348,0.272652,0.09,361.8575,2.76124,212740.8,652.159008488598,0.148518222660091,0.297026810617421,0.00143127830013997,0.553022331736135,1.35668621309528e-06,652.159008488598,2.46500288523187e-09,4.89473720350976e-06,0.733960598473612,0.130358366221607,0.135676138102574,60592.3510499066,-69237.5586200209,0.377650022506714,True,1064,selectiveSobolSampling_Train_XX
192360,1605,0.05,0.1,0.434137,0.325863,0.09,373.26475,1.30058,204760,1079.9761218811,0.0743071984342924,0.148614391865507,0.292359313046455,0.48421768673586,0.000501409917886402,1079.9761218811,1.34920326936054e-11,1.03183343712423e-08,0.725774243383978,0.000126804771257303,0.274098941512938,71837.4119971159,-76417.3591771959,0.421598672866821,True,1060,selectiveSobolSampling_Train_XX
