cduty,rduty,top_molar_flow,top_propane,top_isobutane,top_n_hexane,top_isopentane,top_n_heptane,bottom_molar_flow,bottom_propane,bottom_isobutane,bottom_n_hexane,bottom_isopentane,bottom_n_heptane
62328.2357275969,-63981.4517148218,1073.5477209798,0.0664812371845853,0.132962473155238,0.366663103464619,0.433006919553994,0.000886266641564343,1073.5477209798,3.94346703459749e-12,3.69078851235042e-09,0.639592076871749,5.88784203882111e-05,0.36034904101313
27587.8973399315,-31471.5245764069,626.332773970458,0.112388536136972,0.22476803515047,0.0251465888400578,0.637657617183584,3.92226889170488e-05,626.332773970458,4.29640162557179e-09,7.25120766901274e-06,0.737707260114927,0.100188289005757,0.162097195375245
31044.2707602918,-37537.7421048181,662.032576383993,0.119616317077117,0.239231557625561,0.0842043920528299,0.556822678514825,0.000125054729667463,662.032576383993,6.84741935164543e-10,7.74556569592389e-07,0.836586707013368,0.00886231758184091,0.15455020016348
29106.8953328362,-34857.0044155771,603.477827673457,0.109603324915478,0.21920539165624,0.0234944708832965,0.647668634922607,2.81776223787854e-05,603.477827673457,8.18629598629608e-10,1.05709413891925e-06,0.815409199073195,0.0191142380551647,0.165475504958872
35005.8922868301,-38434.2718871624,757.144774025683,0.101490490655429,0.2029784768582,0.0144204403296592,0.68109138441519,1.92077415217698e-05,757.144774025683,1.27639213849976e-09,2.43450928007238e-06,0.756690223252676,0.0659312169278617,0.17737612403379
67062.311163269,-66466.6626084215,1220.20197481273,0.0651595224436141,0.130319043965404,0.354080412597549,0.449467540368318,0.000973480625114043,1220.20197481273,3.03042022270459e-12,3.04659795939788e-09,0.616311255794034,5.64064291871394e-05,0.38363233472715
28729.0113224322,-35798.9266567241,617.627097474605,0.133326019821729,0.266639090305174,0.0307311748839529,0.569266787754099,3.69272350444219e-05,617.627097474605,5.43523029770961e-09,7.78115458201314e-06,0.786341311478708,0.069668326513881,0.143982575417599
20757.6409610114,-25912.5281204722,467.247713331105,0.138915677270215,0.277811960727834,0.0470842151690466,0.53612510356842,6.30432644840731e-05,467.247713331105,7.43717068168519e-09,1.09206057256346e-05,0.783163898306329,0.0762508845495435,0.140574289101231
60611.8430851792,-60438.4437952482,995.236437635973,0.0709186411800384,0.141837280711909,0.462466050325377,0.323601344283748,0.00117668349892763,995.236437635973,4.00673039987221e-12,3.94760517071572e-09,0.69764617027326,4.7214343382496e-05,0.302306611431746
60817.57636717,-60700.9097399366,1012.88649551968,0.0664318355589853,0.132863670208854,0.427131651756569,0.372528010934224,0.00104483154136736,1012.88649551968,2.81661430727643e-12,2.7721021370277e-09,0.639279716933083,4.09391614013838e-05,0.360679341130597
19180.5981804814,-25039.9543018943,421.539106515967,0.159842389820008,0.319604066371277,0.0367341117250128,0.483772574286675,4.68577970272448e-05,421.539106515967,2.94176100889476e-08,3.67993056035994e-05,0.759877258099853,0.109139476456929,0.130946436720004
45744.6786128603,-48217.2374862187,878.025663632851,0.0922576285868578,0.184515221618106,0.248918645019317,0.473730282628679,0.000578222147039527,878.025663632851,4.15986405878559e-11,4.2153318356952e-08,0.803649970613389,0.000544502159942845,0.195805485031752
34247.0541654493,-38274.7907981823,715.765073342565,0.0976680097467111,0.195335489143237,0.0167159126996313,0.690259873394181,2.07150162396437e-05,715.765073342565,3.86827936898841e-10,5.57069437605506e-07,0.800599062113796,0.015019175125101,0.184381205304838
65235.7736889517,-65003.1537687397,1200.52394607131,0.062954267413369,0.125908534260369,0.381069360115307,0.42892197272379,0.00114586548716479,1200.52394607131,2.1521494580001e-12,2.19048452586756e-09,0.567006172712017,4.0682036349878e-05,0.432953143058997
24159.9320456857,-28374.869602245,521.60697593741,0.121123928183675,0.242246664828589,0.0771968608550276,0.559329534310723,0.000103011821985177,521.60697593741,6.36824293131514e-10,8.38923433907346e-07,0.835503617053402,0.0112981150885084,0.153197428297831
25874.3438570511,-30271.6184335998,563.995310449992,0.118731739550516,0.237461672756138,0.0842772422578092,0.559385305000809,0.00014404043472772,563.995310449992,1.18905313283588e-09,1.31643254855709e-06,0.830802519193574,0.0138290140220393,0.155367149162785
18837.2020151871,-24207.9354535861,432.148911927774,0.152824365458647,0.305536151240128,0.0310728698220416,0.510521756481296,4.48569978874367e-05,432.148911927774,3.98514804610831e-08,5.48233364747114e-05,0.712393591975642,0.153809445916614,0.133742098919789
30485.2807574232,-36140.2799138591,645.651530110588,0.114835635505003,0.229667554861208,0.0265877270369938,0.62887350735528,3.55752415150379e-05,645.651530110588,2.17618285204263e-09,2.8701750669937e-06,0.799819426282438,0.0407988635234314,0.159378837842881
39029.7036449219,-41621.5751438417,788.29829088089,0.0953508701226211,0.190701602790364,0.028043278841304,0.685874392973646,2.9855272065076e-05,788.29829088089,1.15999201791554e-10,1.5177809454928e-07,0.806829170394652,0.003977272738141,0.189193404973113
27954.1126177528,-32729.4126129605,610.143069228575,0.134145438835522,0.268280619360128,0.0516276846804509,0.545880666782327,6.55903415725912e-05,610.143069228575,4.23226633455009e-09,6.10404754418801e-06,0.80331383678879,0.0532401993132989,0.1434398556181
31410.5488047843,-35659.1834306637,682.86454584398,0.104019377327286,0.208036169009577,0.0167616445615519,0.671160572339723,2.22367618613272e-05,682.86454584398,1.34990506535772e-09,2.39595676009534e-06,0.76878752575863,0.0579272206147538,0.173282856319951
36361.3174067089,-41798.7608477622,747.374598078994,0.106821465800595,0.213637005678717,0.0107285639413769,0.668797308882242,1.56556970689467e-05,747.374598078994,3.0895554999667e-09,5.22068923804568e-06,0.730594066114345,0.100219068561026,0.169181641545835
