cduty,rduty,top_molar_flow,top_propane,top_isobutane,top_n_hexane,top_isopentane,top_n_heptane,bottom_molar_flow,bottom_propane,bottom_isobutane,bottom_n_hexane,bottom_isopentane,bottom_n_heptane
32828.3731749122,-37877.6447552257,691.84072272787,0.108221310805412,0.216441333803729,0.025630088383474,0.649675866275709,3.14007316764431e-05,691.84072272787,8.11786574705212e-10,1.10758214449908e-06,0.811545755416168,0.0211888178819202,0.167264318307981
43231.1877553065,-45754.3230435961,818.939772348277,0.083530695443595,0.167061374720851,0.34196843453363,0.406343029610792,0.00109646569113185,818.939772348277,2.69032480502297e-11,2.41606745598416e-08,0.777173708965903,0.00025589649664403,0.222570370349875
33571.388754881,-35571.3107550057,675.336214187606,0.0941969016347115,0.188393746542617,0.117465955677221,0.59976755204355,0.000175844101900758,675.336214187606,5.50116189824369e-11,6.42852090051847e-08,0.807134903420665,0.00124687296001944,0.191618159279095
28115.5311333852,-35134.3191572433,594.901380991794,0.126050208471486,0.252093741191252,0.0347780127787952,0.587031574120442,4.64634380244804e-05,594.901380991794,3.66124692350665e-09,4.39636458920676e-06,0.807714409477305,0.0431403072678571,0.149140883229002
35508.9673226973,-38961.1309801944,726.641405333577,0.110887307435923,0.221772596767677,0.0167797015896495,0.650542900794631,1.74934121186726e-05,726.641405333577,9.7590443965695e-10,1.65919721297825e-06,0.797958171258131,0.0381475063532124,0.163892662215539
30208.6751292591,-33747.4233448399,640.134238103485,0.10947962362761,0.218958708210737,0.0431250325965076,0.62838948924916,4.71463159850124e-05,640.134238103485,3.15506981769606e-10,4.53764824378025e-07,0.824992014074748,0.0093910033346723,0.165616528510248
24879.9316528461,-32392.0781525818,513.110884145169,0.15003635217297,0.30004519291216,0.0220135820353946,0.527882523995729,2.23488837467245e-05,513.110884145169,9.77763910863442e-09,1.3770270856311e-05,0.779887644837252,0.0851261068233079,0.134972468290945
59096.5627170754,-57769.0793949249,1004.43829488499,0.0653410784136497,0.130682156072119,0.44360783171038,0.359159616534919,0.00120931726893228,1004.43829488499,2.47207548450987e-12,2.46639863852945e-09,0.620575099399737,3.62373984905774e-05,0.379388660732902
39778.638394657,-43184.4460811911,819.830748943154,0.0965854655541751,0.193170801822391,0.189037558414707,0.520707777001524,0.00049839720720298,819.830748943154,1.56253823681268e-10,1.39074696265999e-07,0.812435677145147,0.00150245981335316,0.18606172381055
60735.9334973364,-59919.449429507,1119.05128544974,0.0665840677069971,0.133168134205582,0.325286540979877,0.474101349875896,0.000859907231648164,1119.05128544974,3.56119989677501e-12,3.65053993784095e-09,0.641176270898617,7.15280468714828e-05,0.358752197400411
31622.2581063192,-37159.8853892286,645.571772440844,0.116119611543887,0.232238466957458,0.0655251088933272,0.586033456474621,8.3356130706717e-05,645.571772440844,5.16366644728317e-10,5.72822539668458e-07,0.834695879666624,0.00730810597396319,0.157995441020506
38143.4445203174,-43533.0583315589,802.069146628833,0.102403810707465,0.204807356193788,0.0523380729785562,0.640384345983314,6.64141368772646e-05,802.069146628833,2.1056454758308e-10,2.53476399319934e-07,0.819398359630396,0.00479313698649197,0.175808249696148
27523.3214591912,-33405.1697331348,563.742380756409,0.115182853302014,0.230360128628956,0.0146517038534252,0.639786596767558,1.87174480470633e-05,563.742380756409,2.88446209184499e-09,4.28448224036437e-06,0.77340321690345,0.0675702967904967,0.159022198939351
22884.3442193684,-26682.2523205385,516.53843819206,0.127876801055833,0.255719475120705,0.0242305049120601,0.592136487146598,3.6731764804107e-05,516.53843819206,1.37330118525526e-08,2.19383439987932e-05,0.704520990983218,0.147697080729853,0.147759976209918
25441.6388545689,-30471.1875335693,513.137332211583,0.121962519749904,0.243923411305907,0.028121817930397,0.605965251432351,2.69995814414772e-05,513.137332211583,8.21137950310008e-10,1.13292144472896e-06,0.829332637313487,0.0181524375608876,0.152513791383042
36438.0182708651,-38443.6911164356,679.341604459506,0.0990867483146041,0.198173427210002,0.240471656018411,0.461754234373632,0.000513934083350467,679.341604459506,7.34498358179456e-11,7.08577226473011e-08,0.81808681803376,0.000762170243905072,0.181150940791162
27938.3310668224,-32076.8975547282,578.603093290429,0.110643929441984,0.221287510187585,0.162324710862158,0.505399988113851,0.000343861394422486,578.603093290429,2.94059153661704e-10,2.88083076449999e-07,0.833221810137895,0.00285777551096103,0.163920125974009
49078.0715214791,-51344.4231743706,918.557088337966,0.0764763306688225,0.152952654222172,0.268278178457656,0.501635558531196,0.000657278120154009,918.557088337966,1.43778168464232e-11,1.34662775531702e-08,0.741068082707743,0.000210031110324835,0.258721872701277
25846.8774250545,-31908.6061745719,545.089737696669,0.143965855978928,0.287893840641537,0.0190813413049896,0.549037749563067,2.12125114788242e-05,545.089737696669,1.30823598144922e-08,2.01777964632724e-05,0.741670374287653,0.120430999093023,0.137878435740501
27131.0921415041,-30316.0437925584,568.384075519679,0.114085137913991,0.228164196426261,0.0150787603633678,0.642654018880755,1.7886415624985e-05,568.384075519679,2.61853435698955e-09,4.74845967862485e-06,0.754871144377737,0.0849189744617566,0.160205130082293
34546.2799249285,-38361.7605841595,766.076799786034,0.107649896946202,0.215294517394898,0.020374673359337,0.656651481315662,2.94309839016181e-05,766.076799786034,2.59626926140808e-09,4.58152101655694e-06,0.747654548287297,0.0843090157533954,0.168031851842021
25370.232538725,-32228.7037184731,559.456004754361,0.135511405426406,0.270993500805037,0.0218792759449659,0.571588119997295,2.76978262963358e-05,559.456004754361,1.0772260834957e-08,1.71596335408299e-05,0.733550632193186,0.1238238451345,0.142608352266513
